id,partner_id,account_id,reference,comment,date_due,date_invoice,invoice_line/account_id,invoice_line/name,invoice_line/product_id,invoice_line/quantity,invoice_line/price_unit
account_invoice_224,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก.(มหาชน) สาขารังสิตคลองหก",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47898,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,27972
account_invoice_225,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก.(มหาชน) สาขารังสิตคลองหก",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47899,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,18522
account_invoice_226,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาเชียงใหม่ 2",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47888,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,139554
account_invoice_227,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาเชียงใหม่ 2",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47889,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,158568
account_invoice_228,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาที่ 3",113100 ลูกหนี้การค้าในประเทศ,INV55/959/47902,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,42129
account_invoice_229,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาที่ 3",113100 ลูกหนี้การค้าในประเทศ,INV55/959/47903,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,44923
account_invoice_230,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาที่ 8",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47896,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,34956
account_invoice_231,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาที่ 8",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47897,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,26792
account_invoice_232,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาธนบุรี-ปากท่อ",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47900,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,62352
account_invoice_233,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาธนบุรี-ปากท่อ",113100 ลูกหนี้การค้าในประเทศ,INV55/959/47901,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,63937
account_invoice_234,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาบางบอน",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47880,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,12564
account_invoice_235,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาบางบอน",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47881,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,11781
account_invoice_236,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาบางพลี",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47884,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,36675
account_invoice_237,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาบางพลี",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47885,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,21896
account_invoice_238,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาบางใหญ่",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47874,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,62532
account_invoice_239,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาบางใหญ่",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47875,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,25075
account_invoice_240,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาพระราม 4",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47878,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,33048
account_invoice_241,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาพระราม 4",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47879,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,37332
account_invoice_242,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาเพชรเกษม 2",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47876,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,25398
account_invoice_243,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาเพชรเกษม 2",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47877,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,27965
account_invoice_244,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาแฟชั่นไอส์แลนด์",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47886,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,32004
account_invoice_245,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาแฟชั่นไอส์แลนด์",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47887,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,33550
account_invoice_246,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาระยอง",113100 ลูกหนี้การค้าในประเทศ,INV55/959/47904,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,41913
account_invoice_247,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาระยอง",113100 ลูกหนี้การค้าในประเทศ,INV55/959/47905,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,32496
account_invoice_248,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขารัชดาภิเษก",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47890,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,30852
account_invoice_249,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขารัชดาภิเษก",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47891,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,14603
account_invoice_250,"บิ๊กซี ซูเปอร์เซ็นเตอร์,บจก.(มหาชน) สาขาลาดพร้าว2",113100 ลูกหนี้การค้าในประเทศ,INV55/958/47882,Sales: admin,2012-12-07,2012-12-07,411000 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,19935
