id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
sale_order_1005446,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,1003141,2012-11-02,product.list0,60,from stock,** ส่งต้นเดือน ธ.ค. 55 ** nobox ไม่เอาฟรีไต้หวัน,WAN12SB,10,base.user_root,837,คัน
sale_order_1005446,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,1003141,2012-11-02,product.list0,50,from stock,** ส่งต้นเดือน ธ.ค. 55 ** nobox ไม่เอาฟรีไต้หวัน,WAN12P,10,base.user_root,837,คัน
sale_order_1005446,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,1003141,2012-11-02,product.list0,80,from stock,** ส่งต้นเดือน ธ.ค. 55 ** nobox ไม่เอาฟรีไต้หวัน,WAN12R,10,base.user_root,856,คัน
sale_order_1005446,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,อ.เฟอร์นิเจอร์,1003141,2012-11-02,product.list0,70,from stock,** ส่งต้นเดือน ธ.ค. 55 ** nobox ไม่เอาฟรีไต้หวัน,WAN12R,4,base.user_root,856,คัน
sale_order_1006210,"สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน","สุรพลจักรยาน, ร้าน",1003905,2013-01-05,product.list0,130,from stock,N/A,WAN12SB,6,base.user_root,840,คัน
sale_order_1006182,อะหลั่ยกลการ,อะหลั่ยกลการ,อะหลั่ยกลการ,1003877,2013-01-04,product.list0,10,from stock,** ราคาเนต ** nobox **,WAN12P,40,base.user_root,795,คัน
sale_order_1006182,อะหลั่ยกลการ,อะหลั่ยกลการ,อะหลั่ยกลการ,1003877,2013-01-04,product.list0,20,from stock,** ราคาเนต ** nobox **,WAN12P,40,base.user_root,795,คัน
sale_order_1006182,อะหลั่ยกลการ,อะหลั่ยกลการ,อะหลั่ยกลการ,1003877,2013-01-04,product.list0,30,from stock,** ราคาเนต ** nobox **,WAN12R,60,base.user_root,795,คัน
sale_order_1006151,กิจเจริญ (เลย),กิจเจริญ (เลย),กิจเจริญ (เลย),1003846,2012-12-28,product.list0,10,from stock,N/A,WAN12P,4,base.user_root,840,คัน
sale_order_1006151,กิจเจริญ (เลย),กิจเจริญ (เลย),กิจเจริญ (เลย),1003846,2012-12-28,product.list0,20,from stock,N/A,WAN12SB,4,base.user_root,840,คัน
sale_order_1005742,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003437,2012-11-27,product.list0,30,from stock,* ราคาเนต * nobox **,WAN12R,30,base.user_root,812,คัน
sale_order_1005742,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003437,2012-11-27,product.list0,20,from stock,* ราคาเนต * nobox **,WAN12P,10,base.user_root,812,คัน
sale_order_1005742,ไทยฮวด,ไทยฮวด,ไทยฮวด,1003437,2012-11-27,product.list0,10,from stock,* ราคาเนต * nobox **,WAN12R,10,base.user_root,812,คัน
sale_order_1005780,"ป.ไบค์, ร้าน","ป.ไบค์, ร้าน","ป.ไบค์, ร้าน",1003475,2012-12-01,product.list0,10,from stock,* ราคาเนต *,WAN12P,16,base.user_root,812,คัน
sale_order_1006141,สมพงษ์การค้า,สมพงษ์การค้า,สมพงษ์การค้า,1003836,2012-12-26,product.list0,40,from stock,N/A,WAN12SB,4,base.user_root,865,คัน
sale_order_1006141,สมพงษ์การค้า,สมพงษ์การค้า,สมพงษ์การค้า,1003836,2012-12-26,product.list0,50,from stock,N/A,WAN12P,4,base.user_root,865,คัน
sale_order_1006141,สมพงษ์การค้า,สมพงษ์การค้า,สมพงษ์การค้า,1003836,2012-12-26,product.list0,60,from stock,N/A,WAN12SB,4,base.user_root,865,คัน
sale_order_1006037,มีชัยจักรยาน,มีชัยจักรยาน,มีชัยจักรยาน,1003732,2012-12-19,product.list0,10,from stock,* ยางไทย * ราคาเนต,WAN12R,20,base.user_root,885,คัน
sale_order_1006037,มีชัยจักรยาน,มีชัยจักรยาน,มีชัยจักรยาน,1003732,2012-12-19,product.list0,20,from stock,* ยางไทย * ราคาเนต,WAN12P,20,base.user_root,885,คัน
sale_order_1006037,มีชัยจักรยาน,มีชัยจักรยาน,มีชัยจักรยาน,1003732,2012-12-19,product.list0,30,from stock,* ยางไทย * ราคาเนต,WAN12SB,20,base.user_root,885,คัน
