id,partner_id,account_id,reference,comment,date_due,date_invoice,invoice_line/account_id,invoice_line/name,invoice_line/product_id,invoice_line/quantity,invoice_line/price_unit
account_invoice_001,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/935/46724,Sales: pitoon,2012-09-08,2012-09-08,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,33532
account_invoice_002,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/938/46870,Sales: pitoon,2012-09-18,2012-09-18,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,9240
account_invoice_003,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/938/46871,Sales: pitoon,2012-09-18,2012-09-18,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,2163
account_invoice_004,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/946/47286,Sales: pitoon,2012-10-19,2012-10-19,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,10380
account_invoice_005,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/946/47287,Sales: pitoon,2012-10-19,2012-10-19,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,525
account_invoice_006,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/947/47325,Sales: pitoon,2012-10-24,2012-10-24,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4350
account_invoice_007,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/953/47638,Sales: pitoon,2012-11-16,2012-11-16,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4100
account_invoice_008,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/955/47711,Sales: pitoon,2012-11-22,2012-11-22,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,11315
account_invoice_009,LA BIKE SHOP อุบล,11310 ลูกหนี้การค้าในประเทศ,INV55/963/48135,Sales: pitoon,2012-12-24,2012-12-24,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,9520
account_invoice_010,PC BIKES SHOP (ผินฮับหลี),11310 ลูกหนี้การค้าในประเทศ,INV55/949/47440,Sales: danupol,2012-11-01,2012-11-01,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,8624
account_invoice_011,PC BIKES SHOP (ผินฮับหลี),11310 ลูกหนี้การค้าในประเทศ,INV55/956/47796,Sales: danupol,2012-11-29,2012-11-29,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,10932
account_invoice_012,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/934/46674,Sales: pitoon,2012-09-05,2012-09-05,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,35000
account_invoice_013,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/936/46781,Sales: pitoon,2012-09-12,2012-09-12,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,9950
account_invoice_014,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/937/46817,Sales: pitoon,2012-09-13,2012-09-13,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,23100
account_invoice_015,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/945/47210,Sales: pitoon,2012-10-12,2012-10-12,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,46100
account_invoice_016,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/952/47580,Sales: pitoon,2012-11-10,2012-11-10,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,13050
account_invoice_017,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/952/47594,Sales: pitoon,2012-11-12,2012-11-12,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,5220
account_invoice_018,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/961/48023,Sales: pitoon,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,101802
account_invoice_019,Rayong city bike,11310 ลูกหนี้การค้าในประเทศ,INV55/964/48155,Sales: pitoon,2012-12-25,2012-12-25,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,16660
account_invoice_020,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/955/47735,Sales: admin,2012-11-23,2012-11-23,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_021,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/955/47736,Sales: admin,2012-11-23,2012-11-23,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_022,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/955/47749,Sales: admin,2012-11-26,2012-11-26,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_023,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/956/47755,Sales: admin,2012-11-26,2012-11-26,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_024,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/956/47756,Sales: admin,2012-11-26,2012-11-26,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_025,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/956/47757,Sales: admin,2012-11-26,2012-11-26,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,111100
account_invoice_026,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/957/47820,Sales: admin,2012-12-03,2012-12-03,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_027,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/957/47833,Sales: admin,2012-12-03,2012-12-03,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_028,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/957/47839,Sales: admin,2012-12-04,2012-12-04,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_029,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/957/47848,Sales: admin,2012-12-04,2012-12-04,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_030,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/958/47852,Sales: admin,2012-12-06,2012-12-06,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,139380
account_invoice_031,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/960/47980,Sales: admin,2012-12-13,2012-12-13,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_032,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/960/47985,Sales: admin,2012-12-13,2012-12-13,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_033,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/960/47990,Sales: admin,2012-12-14,2012-12-14,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_034,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/961/48001,Sales: admin,2012-12-14,2012-12-14,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_035,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/961/48021,Sales: admin,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,40400
account_invoice_036,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/961/48022,Sales: admin,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,111100
account_invoice_037,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/961/48045,Sales: admin,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,151500
account_invoice_038,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/963/48123,Sales: admin,2012-12-24,2012-12-24,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,88880
account_invoice_039,"Thai Bicycle Industry Co., Ltd.",11310 ลูกหนี้การค้าในประเทศ,INV55/963/48124,Sales: admin,2012-12-24,2012-12-24,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,62620
account_invoice_040,กวงหลีล้ง,11310 ลูกหนี้การค้าในประเทศ,INV55/957/47840,Sales: danupol,2012-12-04,2012-12-04,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,13050
account_invoice_041,กวงหลีล้ง,11310 ลูกหนี้การค้าในประเทศ,INV55/961/48033,Sales: danupol,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,11628
account_invoice_042,กิจเจริญ (เลย),11310 ลูกหนี้การค้าในประเทศ,INV55/941/47042,Sales: pitoon,2012-10-01,2012-10-01,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,15475
account_invoice_043,กิจเจริญ (เลย),11310 ลูกหนี้การค้าในประเทศ,INV55/941/47043,Sales: pitoon,2012-10-01,2012-10-01,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,11900
account_invoice_044,กิจเจริญ (เลย),11310 ลูกหนี้การค้าในประเทศ,INV55/950/47489,Sales: pitoon,2012-11-05,2012-11-05,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,13290
account_invoice_045,กิจเจริญ (เลย),11310 ลูกหนี้การค้าในประเทศ,INV55/951/47534,Sales: pitoon,2012-11-07,2012-11-07,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,15120
account_invoice_046,กิจเจริญ (เลย),11310 ลูกหนี้การค้าในประเทศ,INV55/954/47667,Sales: pitoon,2012-11-19,2012-11-19,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,8235
account_invoice_047,กิจเจริญ (เลย),11310 ลูกหนี้การค้าในประเทศ,INV55/960/47966,Sales: pitoon,2012-12-12,2012-12-12,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,22405
account_invoice_048,กิจเสรี,11310 ลูกหนี้การค้าในประเทศ,INV55/943/47128,Sales: pasit,2012-10-04,2012-10-04,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4800
account_invoice_049,กิจเสรี,11310 ลูกหนี้การค้าในประเทศ,INV55/944/47155,Sales: pasit,2012-10-06,2012-10-06,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,21500
account_invoice_050,กิจเสรี,11310 ลูกหนี้การค้าในประเทศ,INV55/944/47190,Sales: pasit,2012-10-11,2012-10-11,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,34785
account_invoice_051,กิจเสรี,11310 ลูกหนี้การค้าในประเทศ,INV55/956/47794,Sales: pasit,2012-11-29,2012-11-29,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,27114
account_invoice_052,กิจเสรี,11310 ลูกหนี้การค้าในประเทศ,INV55/961/48032,Sales: pasit,2012-12-17,2012-12-17,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,22992
account_invoice_053,กู๊ดไบค์ซิเคิล เซ็นเตอร์,11310 ลูกหนี้การค้าในประเทศ,INV55/957/47832,Sales: pitoon,2012-12-03,2012-12-03,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4350
account_invoice_054,กู๊ดไบค์ซิเคิล เซ็นเตอร์,11310 ลูกหนี้การค้าในประเทศ,INV55/959/47943,Sales: pitoon,2012-12-10,2012-12-10,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,4350
account_invoice_055,แก้วจักรยาน,11310 ลูกหนี้การค้าในประเทศ,INV55/961/48007,Sales: danupol,2012-12-15,2012-12-15,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,8700
account_invoice_056,โกเพ้ง,11310 ลูกหนี้การค้าในประเทศ,INV55/959/47945,Sales: pasit,2012-12-10,2012-12-10,41100 รายได้จากการขายสินค้า,ตัดหนี้ Invoice,ตัดหนี้ Invoice,1,1410
