ERROR,id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/special_info,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,10,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE MINI 16"" MY13 สีแดง YS-762",** ราคาเนต **,MMI16R,2,base.user_root,1723,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,20,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE MINI 16"" MY13 สีขาว YS-775",** ราคาเนต **,MMI16W,2,base.user_root,1723,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,30,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE METRO 16"" MY13 สีเงิน YS-7605",** ราคาเนต **,MMM16S,2,base.user_root,1723,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,40,from stock,"จักรยาน MEADOW FOLDING รุ่น MOVE METRO 16"" MY13 สีน้ำตาลเข้ม YS-760",** ราคาเนต **,MMM16N,2,base.user_root,1723,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,50,from stock,"จักรยานไฟฟ้า MEADOW รุ่น I- LYNX 24"" สีน้ำเงิน",** ราคาเนต **,EBK008,1,base.user_root,9308,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,60,from stock,"จักรยาน MEADOW FREESTYLE รุ่น HARO"" ชุบโครเมี่ยม",** ราคาเนต **,MHR20C,12,base.user_root,1336,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,70,from stock,จักรยาน MEADOW ROAD BIKE รุ่น SPRINT 700C สีขาว (YS701),** ราคาเนต **,MSP7CW,1,base.user_root,3523,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,80,from stock,"จักรยาน MEADOW MTB ALLOY รุ่น ULTIMATE ขนาด 26"" V2 สีดำ (YS728)",** ราคาเนต **,MUL26KV2,1,base.user_root,5101,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,90,from stock,"จักรยาน MEADOW FIXGEAR 27"" รุ่น FIXIE VINTAGE สีเหลือง",** ราคาเนต **,MFV27Y,1,base.user_root,4881,คัน
NO,sale_order_1006608,"มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน","มยุรีไซเคิล, ร้าน",1004303,2013-02-08,product.list0,100,from stock,"จักรยาน MEADOW FIXGEAR 27"" รุ่น FIXIE VINTAGE สีดำ",** ราคาเนต **,MFV27K,1,base.user_root,4881,คัน
