ERROR,id,partner_id,partner_invoice_id,partner_shipping_id,name,date_order,pricelist_id/id,order_line/sequence,order_line/type,order_line/name,order_line/special_info,order_line/product_id,order_line/product_uom_qty,order_line/salesman_id/id,order_line/price_unit,order_line/product_uom
YES,sale_order_1006610,แสงเจริญ,แสงเจริญ,แสงเจริญ,1004305,2013-02-08,product.list0,30,from stock,"ซี่ลวดเหล็ก 14G*242มม. (24"") ชุบซิงค์ พร้อมหัวซี่ลวดขึ้นมือ",,SPK026,250,base.user_root,57,กุรุส
YES,sale_order_1006597,งี่ฮ้ง - สวนมะลิ,งี่ฮ้ง - สวนมะลิ,งี่ฮ้ง - สวนมะลิ,1004292,2013-02-07,product.list0,10,from stock,"ตะเกียบ MTB 24"" [182:221] คละสี",** ส่งของที่ร้าน **,FRK016X,10,base.user_root,54,อัน
YES,sale_order_1006598,"เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี","เจริญจักรยาน, ราชบุรี",1004293,2013-02-07,product.list0,190,from stock,"จักรยาน SPORTS รุ่น CLASSIC 26"" คละสี",** nobox **,MSP26X,10,base.user_root,1500,คัน
YES,sale_order_1006600,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004295,2013-02-07,product.list0,50,from stock,"วงล้อเหล็ก 26""*1-3/8*14G*40H+40H ชบโครเมี่ยม ZLS-006",,RIM068,50,base.user_root,145,คู่
YES,sale_order_1006600,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004295,2013-02-07,product.list0,60,from stock,"ชุดแฮนด์ปีกนก MTB 16"" สีสะท้อนแสง สีส้ม + คอ MTB 60mm ชุบดำ",,KIT_HAND_MTB_16O,500,base.user_root,42,ชุด
YES,sale_order_1006600,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004295,2013-02-07,product.list0,70,from stock,"ชุดแฮนด์ปีกนก MTB 16"" สีสะท้อนแสง สีเหลือง + คอ MTB 60mm ชุบดำ",,KIT_HAND_MTB_16Y,500,base.user_root,42,ชุด
YES,sale_order_1006601,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004296,2013-02-07,product.list0,20,from stock,"ชุดใหญ่ 16""MTB-Y-Mono กลก. มีรูกระติกน้ำ แคนดี้แดง * ตังถัง, ตะเกียบ, อัดถ้วยคอ, แฮนด์รุ่น 20""พ่นสี + คอชุบดำ, ปลอกมือ, อานสี, บังโซ่นกหวีด, บันได, ล้อพ่วง, วงล้อสี, ชุดขาจานเลื้อยED 4.1/2 + ชุดถ้วย + ใบจาน 32T. (ไม่เอาบังโคลน+ขา)",** ไม่เอาอาน **,OEM058,40,base.user_root,528,ชุด
YES,sale_order_1006601,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004296,2013-02-07,product.list0,30,from stock,"ชุดใหญ่ 16""MTB-Y-Mono กลก. มีรูกระติกน้ำ แคนดี้น้ำเงิน * ตังถัง, ตะเกียบ, อัดถ้วยคอ, แฮนด์รุ่น 20""พ่นสี + คอชุบดำ, ปลอกมือ, อานสี, บังโซ่นกหวีด, บันได,  ล้อพ่วง, วงล้อสี, ชุดขาจานเลื้อยED 4.1/2 + ชุดถ้วย + ใบจาน 32T. (ไม่เอาบังโคลน+ขา)",** ไม่เอาอาน **,OEM059,40,base.user_root,528,ชุด
YES,sale_order_1006601,"วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.","วี.ที.เว็นเท็กซ์, หจก.",1004296,2013-02-07,product.list0,40,from stock,"ชุดใหญ่ 16""MTB-Y-Mono กลก. มีรูกระติกน้ำ แคนดี้ชมพู * ตังถัง, ตะเกียบ, อัดถ้วยคอ, แฮนด์รุ่น 20""พ่นสี + คอชุบดำ, ปลอกมือ, อานสี, บังโซ่นกหวีด, บันได, ล้อพ่วง, วงล้อสี, ชุดขาจานเลื้อยED 4.1/2 + ชุดถ้วย + ใบจาน 32T. (ไม่เอาบังโคลน+ขา)",- สีดำ ** ไม่เอาอาน **,OEM057,20,base.user_root,528,ชุด
YES,sale_order_1006573,ไทยฮวด,ไทยฮวด,ไทยฮวด,1004268,2013-02-05,product.list0,10,from stock,"จักรยาน SPORTS รุ่น CLASSIC 26"" คละสี",,MSP26X,30,base.user_root,1500,คัน
