sorting,id,account_id,reference,comment,date_due,date_invoice,invoice_line/sequence,invoice_line/account_id,invoice_line/name,invoice_line/product_id,invoice_line/quantity,invoice_line/price_unit,invoice_line/invoice_line_tax_id,invoice_line/uos_id,partner_id
1001,account_invoice_1008451,11310 ลูกหนี้การค้าในประเทศ,965-48214,,2013-01-02,2013-01-02,10,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW MTB รุ่น SUPER STORM 24"" A-FRAME สีเหลือง",MSA24Y,1,1800,,คัน,"ราชาวิศวกรรมจักรกล, หจก."
1002,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,10,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW MTB รุ่น MONSTER 20"" MY10 สีแดง",MMS20R,1,2790,,คัน,เฮง เฮง จักรยาน
1003,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,20,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW MTB รุ่น MONSTER 20"" MY10 สีทอง",MMS20GD,1,2790,,คัน,เฮง เฮง จักรยาน
1004,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,30,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW CITY รุ่น CITY SLEEK 24"" สีดำ",MCS24K,1,1800,,คัน,เฮง เฮง จักรยาน
1005,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,40,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW CITY รุ่น CITY SLEEK 24"" สีชมพู",MCS24P,1,1800,,คัน,เฮง เฮง จักรยาน
1006,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,50,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW MTB รุ่น POWERSHOT 26"" MY13 สีเทา",MPS26G13,1,3490,,คัน,เฮง เฮง จักรยาน
1007,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,60,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW CITY รุ่น CITY LYNX 24"" สีดำ",MCL24K,1,1900,,คัน,เฮง เฮง จักรยาน
1008,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,70,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW CITY รุ่น CITY LYNX 24"" สีชมพู",MCL24P,1,1900,,คัน,เฮง เฮง จักรยาน
1009,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,80,41100 รายได้จากการขายสินค้า,"จักรยานเด็ก MEADOW รุ่น INAZUMA11 ขนาด 14"" สีแดง",MIZ14R,1,1530,,คัน,เฮง เฮง จักรยาน
1010,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,90,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW MTB รุ่น MAXIMA 20"" MY12 สีแดง",MMX20R,1,2580,,คัน,เฮง เฮง จักรยาน
1011,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,100,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW FOLDING รุ่น MOVE LITE 20"" MY11 สีแดง",MML20R,1,4000,,คัน,เฮง เฮง จักรยาน
1012,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,110,41100 รายได้จากการขายสินค้า,"ยางใน DURO 20"" AV, OEM PACKING",TUB010,30,35,,เส้น,เฮง เฮง จักรยาน
1013,account_invoice_1008452,11310 ลูกหนี้การค้าในประเทศ,965-48215,,2013-01-02,2013-01-02,120,41100 รายได้จากการขายสินค้า,"ยางใน DURO 24"" x 1.75 AV, OEM PACKING",TUB014,20,37,,เส้น,เฮง เฮง จักรยาน
1014,account_invoice_1008454,11310 ลูกหนี้การค้าในประเทศ,965-48216,,2013-01-03,2013-01-03,10,41100 รายได้จากการขายสินค้า,"ชุดใหญ่ 20""MTB-RJC กลญ. แคนดี้คละสี  *ตัวถัง, ตะเกียบ, แฮนด์ปีกนก+คอ, ปลอกมือ, อานดำ, บังโคลนเหล็ก+ขา, บันได, ขาตั้ง, วงล้อ, ชุดขาจานเลื้อยED 5.1/2 + ชุดถ้วย + ใบจาน 44T, บังจาน 5 รู 44T.",OEM074,100,530,,ชุด,แสงเจริญ
