id,account_id,reference,comment,date_due,date_invoice,invoice_line/sequence,invoice_line/account_id,invoice_line/name,invoice_line/product_id,invoice_line/quantity,invoice_line/price_unit,invoice_line/invoice_line_tax_id,invoice_line/uos_id,partner_id
account_invoice_1009037,11310 ลูกหนี้การค้าในประเทศ,976-48772,Sales: pitoon,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW รุ่น CITY VINTAGE 24""x1 3/8 สีชมพู (YS7787)",MCV24P,58,1790,,คัน,"ซ่งซินหลี, หจก."
account_invoice_1009037,11310 ลูกหนี้การค้าในประเทศ,976-48772,Sales: pitoon,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW รุ่น CITY VINTAGE 24""x1 3/8 สีฟ้า (YS7788)",MCV24B,70,1790,,คัน,"ซ่งซินหลี, หจก."
account_invoice_1009037,11310 ลูกหนี้การค้าในประเทศ,976-48772,Sales: pitoon,2013-02-01,2013-02-01,30,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW รุ่น CITY VINTAGE 24""x1 3/8 สีเหลือง",MCV24Y,12,1790,,คัน,"ซ่งซินหลี, หจก."
account_invoice_1009038,11310 ลูกหนี้การค้าในประเทศ,976-48773,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,แฮนด์ MINI 20-24,GRP009K,1500,39,,อัน,"ไพรัตน์ อินเตอร์เนชั่นแนล,บจก."
account_invoice_1009039,11310 ลูกหนี้การค้าในประเทศ,976-48774,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีฟ้า",MC320SB,2,4485,,คัน,สุชาติจักรยาน
account_invoice_1009039,11310 ลูกหนี้การค้าในประเทศ,976-48774,,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีแดง",MC320R,2,4485,,คัน,สุชาติจักรยาน
account_invoice_1009039,11310 ลูกหนี้การค้าในประเทศ,976-48774,,2013-02-01,2013-02-01,30,41100 รายได้จากการขายสินค้า,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีบรอนซ์",MC320S,1,4485,,คัน,สุชาติจักรยาน
account_invoice_1009040,11310 ลูกหนี้การค้าในประเทศ,976-48775,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีบรอนซ์",MC320S,2,4485,,คัน,เทพศิลป์
account_invoice_1009041,11310 ลูกหนี้การค้าในประเทศ,976-48776,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีบรอนซ์",MC320S,1,4485,,คัน,"ศรีวรจักรจักรยาน, ร้าน"
account_invoice_1009041,11310 ลูกหนี้การค้าในประเทศ,976-48776,,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีชมพู",MC320P,1,4485,,คัน,"ศรีวรจักรจักรยาน, ร้าน"
account_invoice_1009042,11310 ลูกหนี้การค้าในประเทศ,976-48777,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"จักรยาน OPTIMA MTB ALLOY รุ่น NOVA 3000 Size M (17"") สีแดง",OP13NV3000MR,2,9800,,คัน,แสงฟ้าจักรยาน
account_invoice_1009042,11310 ลูกหนี้การค้าในประเทศ,976-48777,,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,"จักรยาน OPTIMA MTB ALLOY รุ่น NOVA 3000 Size M (17"") สีขาว",OP13NV3000MW,2,9800,,คัน,แสงฟ้าจักรยาน
account_invoice_1009042,11310 ลูกหนี้การค้าในประเทศ,976-48777,,2013-02-01,2013-02-01,30,41100 รายได้จากการขายสินค้า,"จักรยาน OPTIMA MTB ALLOY รุ่น NOVA 3000 Size M (17"") สีดำ ",OP13NV3000MK,1,9800,,คัน,แสงฟ้าจักรยาน
account_invoice_1009042,11310 ลูกหนี้การค้าในประเทศ,976-48777,,2013-02-01,2013-02-01,40,41100 รายได้จากการขายสินค้า,"จักรยาน OPTIMA MTB ALLOY รุ่น NOVA 3000 Size M (17"") สีดำ ",OP13NV3000MK,1,0,,คัน,แสงฟ้าจักรยาน
account_invoice_1009043,11310 ลูกหนี้การค้าในประเทศ,976-48778,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"วงล้ออัลลอย 24""*14G*36H, 6N #TJSR",GRP009P,100,108,,คู่,"ศรีพาณิชย์, ร้าน"
account_invoice_1009043,11310 ลูกหนี้การค้าในประเทศ,976-48778,,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,พักเท้าหลัง MINI สีดำ,PEG006,300,18.5,,คู่,"ศรีพาณิชย์, ร้าน"
account_invoice_1009043,11310 ลูกหนี้การค้าในประเทศ,976-48778,,2013-02-01,2013-02-01,30,41100 รายได้จากการขายสินค้า,บังโซ่นกหวีด 24,SCP002,50,45,,อัน,"ศรีพาณิชย์, ร้าน"
account_invoice_1009043,11310 ลูกหนี้การค้าในประเทศ,976-48778,,2013-02-01,2013-02-01,40,41100 รายได้จากการขายสินค้า,ชุดดุมเหล็ก หน้า 32 รู / หลัง 40 รู ชุบซิงค์,SCP002,100,34,,คู่,"ศรีพาณิชย์, ร้าน"
account_invoice_1009043,11310 ลูกหนี้การค้าในประเทศ,976-48778,,2013-02-01,2013-02-01,50,41100 รายได้จากการขายสินค้า,"ตะเกียบ MTB 24"" [182:221] คละสี",FRK016X,100,54,,อัน,"ศรีพาณิชย์, ร้าน"
account_invoice_1009044,11310 ลูกหนี้การค้าในประเทศ,976-48779,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"ชุดเล็ก 12"" MTB กลล. - คละสี ** ตัวถัง, ตะเกียบ, บังโคลนพลาสติก, บังโซ่ (มีอัดแกน + ถ้วยคอ)",OEM-S-MTB-12S,50,230,,ชุด,งี่ฮง - วรจักร
account_invoice_1009044,11310 ลูกหนี้การค้าในประเทศ,976-48779,,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,"ชุดเล็ก 14"" MTB กลล. - คละสี ** ตัวถัง, ตะเกียบ, บังโคลนพลาสติก, บังโซ่ (มีอัดแกน + ถ้วยคอ)",OEM-S-MTB-14S,100,240,,ชุด,งี่ฮง - วรจักร
account_invoice_1009044,11310 ลูกหนี้การค้าในประเทศ,976-48779,,2013-02-01,2013-02-01,30,41100 รายได้จากการขายสินค้า,"ชุดเล็ก 16"" MTB กลล. - คละสี ** ตัวถัง, ตะเกียบ, บังโคลนหล็ก + ขา, บังโซ่ (มีอัดแกน + ถ้วยคอ)",OEM-S-MTB-16S,100,260,,ชุด,งี่ฮง - วรจักร
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,ชุดดุมเหล็ก หน้า/หลัง 28 รู #14 ชุบซิงค์,KIT_HUB_2814U,500,33,,คู่,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,ดุมหลัง เหล็ก 28 รู ชุบซิงค์,SCP002,200,25,,อัน,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,30,41100 รายได้จากการขายสินค้า,"ซี่ลวดเหล็ก 14G*242มม. (24"") ชุบซิงค์ พร้อมหัวซี่ลวดขึ้นมือ",SPK028,150,57,,กุรุส,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,40,41100 รายได้จากการขายสินค้า,เบรคก้ามปู หน้า 3มม. ชุบดำ,BRK004,500,11.5,,อัน,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,50,41100 รายได้จากการขายสินค้า,มือเบรค MINI 20-24 สีเทา JY-B220,BLV_JY-B220_G,500,15,,ชุด,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,60,41100 รายได้จากการขายสินค้า,"ชุดสายเบรค MINI 24"" หน้า/หลัง",SCP002,500,10.5,,ชุด,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,70,41100 รายได้จากการขายสินค้า,"ขาตั้งคู่ 24"" ชุบดำ #TJSR",KST010,150,43,,อัน,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,80,41100 รายได้จากการขายสินค้า,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรคเด็ก 12-14 สีแดง และสายเบรคสีดำ หน้า45/หลัง 85,KIT_BRAKE_KID_12R,100,42,,ชุด,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,90,41100 รายได้จากการขายสินค้า,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรคเด็ก 12-14 สีชมพู และสายเบรคสีดำ หน้า45/หลัง 85,GRP012,100,42,,ชุด,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,100,41100 รายได้จากการขายสินค้า,ฟรีวีล MEADOW 18T สีน้ำตาล ใส่กล่อง,FWL004,1000,16.5,,อัน,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,110,41100 รายได้จากการขายสินค้า,โซ่ 96 ข้อ,CHN007,500,19.5,,เส้น,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,120,41100 รายได้จากการขายสินค้า,ชุดขาจานโซ่สลัก 44T ชุบ ED ,CCW004,200,46,,ชุด,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,130,41100 รายได้จากการขายสินค้า,ชุดดุมเหล็ก หน้า/หลัง 28 รู #10 ชุบซิงค์,KIT_HUB_2810U,100,34,,คู่,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,140,41100 รายได้จากการขายสินค้า,ชุดดุมเหล็ก หน้า/หลัง 20 รู #14 ชุบซิงค์,KIT_HUB_2014U,100,33,,คู่,เอกชัยจักรยาน
account_invoice_1009045,11310 ลูกหนี้การค้าในประเทศ,976-48780,,2013-02-01,2013-02-01,150,41100 รายได้จากการขายสินค้า,"ซี่ลวดเหล็ก 14G*142มม. (16"") ชุบซิงค์ พร้อมหัวซี่ลวดขึ้นมือ",SPK020,50,47,,กุรุส,เอกชัยจักรยาน
account_invoice_1009046,11310 ลูกหนี้การค้าในประเทศ,976-48781,,2013-02-01,2013-02-01,10,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW FOLDING รุ่น MOVE MINI 16"" MY13 สีขาว YS-775",MMI16W,1,1776,,คัน,เอกชัยจักรยาน
account_invoice_1009046,11310 ลูกหนี้การค้าในประเทศ,976-48781,,2013-02-01,2013-02-01,20,41100 รายได้จากการขายสินค้า,"จักรยาน MEADOW FOLDING รุ่น MOVE METRO 16"" MY13 สีเงิน YS-7605",MMM16S,1,1776,,คัน,เอกชัยจักรยาน
account_invoice_1009046,11310 ลูกหนี้การค้าในประเทศ,976-48781,,2013-02-01,2013-02-01,30,41100 รายได้จากการขายสินค้า,"จักรยานสามล้อ MEADOW รุ่น CITY LYNX 20"" 3W สีแดง",MC320R,1,4485,,คัน,เอกชัยจักรยาน
