id,name,code,parent_id/id,type,user_type/id,reconcile
thai_rjc_0,Chart of Account – RJC,0,,View,account.data_account_type_root_view,FALSE
thai_rjc_1,Statement of Financial Position,1,thai_rjc_0,View,account.data_account_type_view,FALSE
thai_rjc_10000,สินทรัพย์,10000,thai_rjc_1,View,account.data_account_type_view,FALSE
thai_rjc_11000,สินทรัพย์หมุนเวียน,11000,thai_rjc_10000,View,account.data_account_type_view,FALSE
thai_rjc_11100,เงินสดและรายการเทียบเท่าเงินสด,11100,thai_rjc_11000,View,account.data_account_type_view,FALSE
thai_rjc_11101,เงินสดย่อย,11101,thai_rjc_11100,Liquidity,account.data_account_type_cash,FALSE
thai_rjc_11109,บัญชีเงินสดย่อยรอการโอน,11109,thai_rjc_11100,Liquidity,account.data_account_type_cash,FALSE
thai_rjc_11110,เงินฝากออมทรัพย์ - ธนาคารกรุงเทพ,11110,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11111,เงินฝากออมทรัพย์ - ธนาคารนครหลวงไทย,11111,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11112,เงินฝากออมทรัพย์ - ธนาคารธนชาติ,11112,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11121,เงินฝากกระแสรายวัน - ธนาคารไทยพาณิชย์,11121,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11122,เงินฝากกระแสรายวัน - ธนาคารกสิกรไทย,11122,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11123,เงินฝากกระแสรายวัน - ธนาคารกรุงศรีอยุธยา,11123,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11124,เงินฝากกระแสรายวัน - ธนาคารกรุงเทพ,11124,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11125,เงินฝากกระแสรายวัน - ธนาคารกรุงไทย,11125,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11126,เงินฝากกระแสรายวัน - ธนาคารนครหลวงไทย,11126,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11127,เงินฝากกระแสรายวัน - ธนาคารธนชาติ,11127,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11131,เงินฝากประจำ - ธนาคารไทยพาณิชย์,11131,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11132,เงินฝากประจำ - ธนาคารนครหลวงไทย,11132,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11150,เช็ครับล่วงหน้า,11150,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11199,บัญชีธนาคารรอการโอน,11199,thai_rjc_11100,Liquidity,account.data_account_type_bank,FALSE
thai_rjc_11200,เงินลงทุนชั่วคราว,11200,thai_rjc_11000,View,account.data_account_type_view,FALSE
thai_rjc_11210,ตั๋วสัญญาใช้เงิน,11210,thai_rjc_11200,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11220,เงินลงทุนระยะสั้น,11220,thai_rjc_11200,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11290,เงินลงทุนอื่น,11290,thai_rjc_11200,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11300,ลูกหนี้การค้าและลูกหนี้อื่น,11300,thai_rjc_11000,View,account.data_account_type_view,FALSE
thai_rjc_11310,ลูกหนี้การค้าในประเทศ,11310,thai_rjc_11300,Receivable,account.data_account_type_receivable,TRUE
thai_rjc_11311,ลูกหนี้การค้าต่างประเทศ,11311,thai_rjc_11300,Receivable,account.data_account_type_receivable,TRUE
thai_rjc_11320,ลูกหนี้สินค้า - ฝากขาย,11320,thai_rjc_11300,Receivable,account.data_account_type_receivable,TRUE
thai_rjc_11330,ลูกหนี้สินค้า - บริการ,11330,thai_rjc_11300,Receivable,account.data_account_type_receivable,TRUE
thai_rjc_11340,ลูกหนี้บริษัทที่เกี่ยวข้องกัน,11340,thai_rjc_11300,Receivable,account.data_account_type_receivable,TRUE
thai_rjc_11350,ลูกหนี้อื่น,11350,thai_rjc_11300,Receivable,account.data_account_type_receivable,TRUE
thai_rjc_11390,ค่าเผื่อหนี้สงสัยจะสูญ,11390,thai_rjc_11300,Regular,account.data_account_type_receivable,FALSE
thai_rjc_11399,ลูกหนี้ยังไม่ออกใบแจ้งหนี้,11399,thai_rjc_11300,Regular,account.data_account_type_receivable,TRUE
thai_rjc_11400,เงินให้กู้ยืมระยะสั้น,11400,thai_rjc_11000,View,account.data_account_type_view,FALSE
thai_rjc_11410,เงินให้กู้ยืมระยะสั้นแก่พนักงาน,11410,thai_rjc_11400,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11420,เงินให้กู้ยืมระยะสั้นแก่กรรมการและผู้ถือหุ้น,11420,thai_rjc_11400,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11430,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,11430,thai_rjc_11400,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11490,เงินให้กู้ยืมระยะสั้นอื่น,11490,thai_rjc_11400,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11500,สินค้าคงเหลือ,11500,thai_rjc_11000,View,account.data_account_type_view,FALSE
thai_rjc_11510,สินค้าสำเร็จรูป,11510,thai_rjc_11500,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11520,งานระหว่างทำ,11520,thai_rjc_11500,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11530,วัตถุดิบ,11530,thai_rjc_11500,Regular,account.data_account_type_current_assets,FALSE
thai_rjc_11540,วัสดุประกอบ/อะไหล่,11540,thai_rjc_11500,Regular,account.data_account_type_current_assets,FALSE
