id,name,description_sale,description_purchase,sale_ok,purchase_ok,hr_expense_ok,type,cost_method,categ_id,uom_id,uom_po_id,valuation,standard_price,list_price,property_account_income,property_account_expense
product_product_charge_1,เงินเดือนโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54100 เงินเดือนโรงงาน,54100 เงินเดือนโรงงาน
product_product_charge_2,ค่าจ้างแรงงานโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54110 ค่าจ้างแรงงานโรงงาน,54110 ค่าจ้างแรงงานโรงงาน
product_product_charge_3,ค่าล่วงเวลาโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54120 ค่าล่วงเวลาโรงงาน,54120 ค่าล่วงเวลาโรงงาน
product_product_charge_4,ค่าเบี้ยเลี้ยงโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54130 ค่าเบี้ยเลี้ยงโรงงาน,54130 ค่าเบี้ยเลี้ยงโรงงาน
product_product_charge_5,ค่าโบนัสโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54140 ค่าโบนัสโรงงาน,54140 ค่าโบนัสโรงงาน
product_product_charge_6,ค่าแรงงานเหมาโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54150 ค่าแรงงานเหมาโรงงาน,54150 ค่าแรงงานเหมาโรงงาน
product_product_charge_7,ค่าจ้างเบ็ดเตล็ดโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54160 ค่าจ้างเบ็ดเตล็ดโรงงาน,54160 ค่าจ้างเบ็ดเตล็ดโรงงาน
product_product_charge_8,ค่ารักษาพยาบาลโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54170 ค่ารักษาพยาบาลโรงงาน,54170 ค่ารักษาพยาบาลโรงงาน
product_product_charge_9,เงินสมทบกองทุนประกันสังคมและกองทุนทดแทนโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54180 เงินสมทบกองทุนประกันสังคมและกองทุนทดแทนโรงงาน,54180 เงินสมทบกองทุนประกันสังคมและกองทุนทดแทนโรงงาน
product_product_charge_10,เงินสมทบเงินสะสมพนักงานโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54190 เงินสมทบเงินสะสมพนักงานโรงงาน,54190 เงินสมทบเงินสะสมพนักงานโรงงาน
product_product_charge_11,ค่าอบรมและสัมมนาโรงงาน,,,FALSE,TRUE,TRUE,Service,Standard Price,Charges,Unit(s),Unit(s),Periodical (manual),1,1,54200 ค่าอบรมและสัมมนาโรงงาน,54200 ค่าอบรมและสัมมนาโรงงาน
