id,name,type,parent_id/id,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id
product_cat_all,All products,Normal,,415000 รายได้จากการบริการ,731900 ค่าใช้จ่ายเบ็ดเตล็ด,,,
product_cat_raw_materials,Raw Materials,Normal,product_cat_all,413000 รายได้จากการขายวัตถุดิบ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115300 วัตถุดิบ
product_cat_blank,Blank,Normal,product_cat_raw_materials,413000 รายได้จากการขายวัตถุดิบ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115300 วัตถุดิบ
product_cat_chemical,Chemical,Normal,product_cat_raw_materials,413000 รายได้จากการขายวัตถุดิบ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115300 วัตถุดิบ
product_cat_pipe,Pipe,Normal,product_cat_raw_materials,413000 รายได้จากการขายวัตถุดิบ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115300 วัตถุดิบ
product_cat_plastic,Plastic,Normal,product_cat_raw_materials,413000 รายได้จากการขายวัตถุดิบ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115300 วัตถุดิบ
product_cat_steel,Steel,Normal,product_cat_raw_materials,413000 รายได้จากการขายวัตถุดิบ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,511000 ต้นทุนขาย,115300 วัตถุดิบ
product_cat_packing,Packing,Normal,product_cat_all,415000 รายได้จากการบริการ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,512000 ค่าใช้จ่ายในการผลิต,115400 วัสดุประกอบ/อะไหล่
product_cat_bag,Bag,Normal,product_cat_packing,415000 รายได้จากการบริการ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,512000 ค่าใช้จ่ายในการผลิต,115400 วัสดุประกอบ/อะไหล่
product_cat_box,Box,Normal,product_cat_packing,415000 รายได้จากการบริการ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,512000 ค่าใช้จ่ายในการผลิต,115400 วัสดุประกอบ/อะไหล่
product_cat_packing_misc,Packing Misc,Normal,product_cat_packing,415000 รายได้จากการบริการ,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,512000 ค่าใช้จ่ายในการผลิต,115400 วัสดุประกอบ/อะไหล่
product_cat_factory_supplies,Factory Supplies,Normal,product_cat_all,411000 รายได้จากการขายสินค้า,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,212990 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,512000 ค่าใช้จ่ายในการผลิต,115400 วัสดุประกอบ/อะไหล่
