id,name,parent_id/id
base.res_partner_category_customer,Customer,
base.res_partner_category_modern_trade,Modern Trade,base.res_partner_category_customer
base.res_partner_category_sport_outlet,Sport Outlet,base.res_partner_category_modern_trade
base.res_partner_category_hyper_market,Hyper Market,base.res_partner_category_modern_trade
base.res_partner_category_traditional_trade,Traditional Trade,base.res_partner_category_customer
base.res_partner_category_wholesaler,Wholesaler,base.res_partner_category_traditional_trade
base.res_partner_category_bigc,BIG-C,base.res_partner_category_wholesaler
base.res_partner_category_retailer,Retailer,base.res_partner_category_traditional_trade
base.res_partner_category_sport_shop,Sport Shop,base.res_partner_category_traditional_trade
base.res_partner_category_others,Others,base.res_partner_category_traditional_trade
base.res_partner_category_direct_marketing,Direct Marketing,base.res_partner_category_customer
base.res_partner_category_online,Online,base.res_partner_category_direct_marketing
base.res_partner_category_events,Events,base.res_partner_category_direct_marketing
base.res_partner_category_professional,Professional,base.res_partner_category_customer
base.res_partner_category_project,Project,base.res_partner_category_professional
