REF#,id,name,ref,is_company,customer,supplier,parent_id,type,street,street2,zip,city,country_id/id,phone,mobile,fax,email,category_id/id,website,comment
base.res_partner_z003,base.res_partner_001,"ซินฮวดจักรยาน, พังโคน",Z003,TRUE,TRUE,FALSE,,Default,33/3 ถ.นิตโย,อ.พังโคน,,สกลนคร,base.th,0-4277-1070,,,,base.res_partner_category_wholesaler,,
base.res_partner_z002,base.res_partner_002,ซีสปอร์ต,Z002,TRUE,TRUE,FALSE,,Default,224/5 ถ.พานิชย์,ต.หน้าเมือง อ.เมือง,,ฉะเชิงเทรา,base.th,0-6819-0449,,,,base.res_partner_category_wholesaler,,
base.res_partner_z001,base.res_partner_003,ซินฮวดจักรยาน,Z001,TRUE,TRUE,FALSE,,Default,210 ถ.หมากแข้ง,ต.หมากแข้ง อ.เมือง,41000,อุดรธานี,base.th,0-4224-3075,,,,base.res_partner_category_wholesaler,,
base.res_partner_y007,base.res_partner_004,"Yee Shin Co., Ltd.",Y007,TRUE,TRUE,FALSE,,Default,63/64 Bahosi Housing Estate,Lamadaw Township,,Yangon Myanmar,base.mm,,,,,base.res_partner_category_wholesaler,,
base.res_partner_y006,base.res_partner_005,ยงไทยจักรยาน,Y006,TRUE,TRUE,FALSE,,Default,181 ถ.เทศบาล 23,อ.เมือง,46000,กาฬสินธุ์,base.th,0-4381-1130,,,,base.res_partner_category_wholesaler,,
base.res_partner_y006,base.res_partner_006,กรุงเทพ (ขนส่ง),Y006,FALSE,TRUE,FALSE,ยงไทยจักรยาน,Shipping,ดาวศรีบุญลือ(จำปี) ซ.2 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,base.th,0-2888-0980,,,,base.res_partner_category_wholesaler,,
base.res_partner_y005,base.res_partner_007,"หยูฮะเฮงหนองคาย, หจก.",Y005,TRUE,TRUE,FALSE,,Default,1077 ถ.มีชัย,อ.เมือง,,หนองคาย,base.th,0-4242-0917,,,,base.res_partner_category_wholesaler,,
base.res_partner_y005,base.res_partner_008,กรุงเทพ (ขนส่ง),Y005,FALSE,TRUE,FALSE,"หยูฮะเฮงหนองคาย, หจก.",Shipping,โชคบุญนำพัฒนา ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,base.th,,,,,base.res_partner_category_wholesaler,,
base.res_partner_y004,base.res_partner_009,"ยนต์ชัย, ร้าน",Y004,TRUE,TRUE,FALSE,,Default,122 ถ.พหลโยธิน,อ.แม่สาย,,เชียงราย,base.th,0-5373-1019,,,,base.res_partner_category_wholesaler,,
base.res_partner_y004,base.res_partner_010,กรุงเทพ (ขนส่ง),Y004,FALSE,TRUE,FALSE,"ยนต์ชัย, ร้าน",Shipping,แม่สายอินทรีย์,ถ.พุทธมณฑล,,กรุงเทพ,base.th,,,,,base.res_partner_category_wholesaler,,
