id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,uos_id,uos_coeff,standard_price,list_price,qty_available
product.product_product_FRK008X,"ตะเกียบ MTB 16"" [131:170] คละสี",,,FRK008X,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,ตะเกียบ,อัน,อัน,,Real Time (automated),,,1,1,
product.product_product_FRK010X,"ตะเกียบ MTB 20"" [182:221] คละสี",,,FRK010X,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,ตะเกียบ,อัน,อัน,,Real Time (automated),,,1,1,
product.product_product_FRK016X,"ตะเกียบ MTB 24"" [182:221] คละสี",,,FRK016X,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,ตะเกียบ,อัน,อัน,,Real Time (automated),,,1,1,
product.product_product_GRP009X,ปลอกมือ มินิ คละสี,,,GRP009X,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,ปลอกมือ,คู่,คู่,,Real Time (automated),,,1,1,
product.product_product_KIT_BRAKE_MTB_24,ชุดเบรคก้ามปู หน้า/หลัง ED พร้อมมือเบรค 24 และสาย,,,KIT_BRAKE_MTB_24,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product.product_product_KIT_CST_MINI20_ED,"ชุดขาเบาะท้าย มินิ 20"" ED แบบ 4 ชิ้น",,,KIT_CST_MINI20_ED,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product.product_product_KIT_CST_MINI24_ED,"ชุดขาเบาะท้าย มินิ 24"" ED แบบ 4 ชิ้น",,,KIT_CST_MINI24_ED,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product.product_product_KIT_HAND_MINI_14X,ชุดแฮนด์ MINI 12-14 คละสี + คอ MTB 60mm คละสี,,,KIT_HAND_MINI_14X,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product.product_product_KIT_HAND_MINI_16P,ชุดแฮนด์ MINI 16 สีชมพู + คอ MTB 60mm  สีชมพู,,,KIT_HAND_MINI_16P,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product.product_product_KIT_HAND_MINI_16SB,ชุดแฮนด์ MINI 16 สีฟ้า + คอ MTB 60mm  สีฟ้า,,,KIT_HAND_MINI_16SB,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product.product_product_KIT_HAND_MINI_24B,ชุดแฮนด์ MINI 20-24 สีบรอนซ์ พร้อมคอห่านสีบรอนซ์,,,KIT_HAND_MINI_24B,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
product.product_product_KIT_HAND_MINI_24C,ชุดแฮนด์ MINI 20-24 ชุบโครเมี่ยม พร้อมคอห่านชุบโครเมี่ยม,,,KIT_HAND_MINI_24C,TRUE,FALSE,Stockable Product,Make to Stock,Manufacture,,Standard Price,,KIT,ชุด,ชุด,,Real Time (automated),,,1,1,
