id,name,description_sale,description_purchase,default_code,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id/id,uom_id,uom_po_id,description,valuation,uos_id,uos_coeff,standard_price,list_price,qty_available
product.product_product_ชุบ001,"ชุบขาตั้งคู่ 24"" MINI  PS  ED",,,COT471,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ002,"ชุบขาตะกร้า 20"" ED",,,COT472,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ003,"ชุบคาน 16"" MINI  UCP",,,COT468,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ004,"ชุบแฮนด์ HARO 20"" CP",,,COT054,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ005,ชุบเพลา 3 ล้อ  ED,,,COT473,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ006,ชุบหลักตะกร้า เฟสสัน  ED,,,COT465,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ007,"ชุบแฮนด์ 20-24"" PS CP",,,COT405,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ008,ชุบตัวยึดลูกบอล ED,,,COT466,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ009,ชุบอะไหล่ PS  UCP,,,COT467,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ010,ชุบน๊อตคอแฮนด์ สั้น  CP,,,COT469,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ011,"ชุบหลักอานตรง 15"" CP",,,COT470,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ012,"ชุบแฮนด์ MINI 20"" CP",,,COT055,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ013,"ชุบตัวถัง 20"" HARO เล็ก CP",,,COT019,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ014,ชุบขาบังโคลน 230 ED,,,COT022,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ015,ชุบขาบังโคลน 256 ED,,,COT002,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ016,ชุบขาบังโคลน 300 ED,,,COT003,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ017,ชุบขาบังโคลน 310 ED,,,COT004,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ018,"ชุบคอแฮนด์ 26"" SP CP",,,COT007,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ019,"ชุบตะเกียบ 20"" HARO CP",,,COT015,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ020,"ชุบตัวถัง 20"" HARO ( หญิง ) CP",,,COT017,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ021,ชุบใบจาน 44T ลายพัด ED,,,COT025,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ022,ชุบวงล้อ RAJA 20 x 1.75 CP,,,COT028,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ023,ชุบวงล้อ RAJA 24 x 1.75 ( 28 รู ) CP,,,COT030,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ024,"ชุบตัวถัง 20"" HARO ( ใหญ่ ) CP",,,COT037,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ025,ชุบคอแฮนด์ MTB สั้น ED,,,COT039,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ026,"ชุบแฮนด์ 16"" MINI CP",,,COT053,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ027,"ชุบหลักอาน 8"" บาง CP",,,COT176,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ028,ชุบใบจาน 52T CP,,,COT139,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ029,ชุบอะไหล่อาน กลาง UCP,,,COT059,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ030,"ชุบแฮนด์ปีกนก 24"" MTB ED",,,COT068,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ031,ชุบฝาโช๊ค UCP,,,COT069,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ032,"ชุบขาตั้งเดี่ยว 16"" BMX ED",,,COT076,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ033,"ชุบขาบังโคลน 26"" MINI ED",,,COT077,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ034,"ชุบขาบังโคลน 24"" MINI ED",,,COT080,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ035,ชุบที่พักเท้า ทอง UCP,,,COT081,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ036,ชุบคอแฮนด์ MINI CP,,,COT088,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ037,"ชุบขาตั้งเดี่ยว 24"" MTB ED",,,COT089,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,อัน,อัน,,Real Time (automated),,,1,,
product.product_product_ชุบ038,ชุบหูยึดพักเท้า สีทอง UCP,,,COT090,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ039,ชุบอะไหล่ขา MTB ตรง UCP,,,COT092,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
product.product_product_ชุบ040,"ชุบเพลาล้อ 20"" รูริม UCP",,,COT098,FALSE,TRUE,Stockable Product,Make to Stock,Buy,,Standard Price,,product_cat_ชุบ,กก.,กก.,,Real Time (automated),,,1,,
