id,name,route,street,street2,zip,city,country_id/id,phone,fax,email,active,dest_contact,area_covered,note
partner_shipper_1,กระบี่นครการ,other,ต่างระดับฉิมพลี,ถ.กาญจนาภิเษก,,กรุงเทพ,,0-2885-8746-8,,,TRUE,,,
partner_shipper_2,กริชทอง,other,ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2887-4655-6,,,TRUE,,,
partner_shipper_3,กรุงเทพปักษ์ใต้,other,ศูนย์ขนส่ง 1 บางแวก,ถ.กาญจนาภิเษก,,กรุงเทพ,,0-2410-3359,,,TRUE,,,
partner_shipper_4,เกื้อกูล,other,ซ.รวมโชค,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,,02-8041116-7,,,TRUE,,,
partner_shipper_5,โกล้วน,other,ศูนย์ขนส่ง 2,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2410-3122,,,TRUE,,,
partner_shipper_6,โกล้วนรุ่งโรจน์,other,ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2410-3138,,,TRUE,,,
partner_shipper_7,คงกะพัน,other,ซ.5 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,,0-2888-2080,,,TRUE,,,
partner_shipper_8,เคเอสดี,other,สนามกีฬา ซ.29,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,02-451-6712-16,,,TRUE,,,
partner_shipper_9,โคราชแสงเจริญ,other,ซ.4 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,,0-2888-1635,,,TRUE,,,
partner_shipper_10,จันทบุรียุทธนา,other,ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2887-4637-8,,,TRUE,,,
partner_shipper_11,จันทวารินขนส่ง,other,71/17 โรงไม้เก่า,ก่อนเข้าสาย 3 พุทธมณฑล,,กรุงเทพ,,0-2888-0543,,,TRUE,,,
partner_shipper_12,ฉลองชัย,other,ซ.24,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2885-8410-2,,,TRUE,,,
partner_shipper_13,ช.รุ่งเรือง,other,กระทุ่มล้ม,สาย 4 ถ.พุทธมณฑล,,กรุงเทพ,,,,,TRUE,,,
partner_shipper_14,ชนะโชคบริการ,other,ซ.สนามกีฬา,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2887-2041-2,,,TRUE,,,
partner_shipper_15,ชวาลกิต,other,ศูนย์ขนส่ง 5  อาคาร 4,สาย 5 ถ.ปินเกล้า-นครชัยศรี,,กรุงเทพ,,0-2889-4747-9,,,TRUE,,,
partner_shipper_16,ชัยนาทสหพิทักษ์,other,ศูนย์ขนส่ง 2,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2448-2939-40,,,TRUE,,,
partner_shipper_17,ชัยภูมิวัฒนสิน,other,สาย 3,ถ.พุทธมณฑล,,กรุงเทพ,,0-2888-1193-4,,,TRUE,,,
partner_shipper_18,ชัยรุ่งเรือง,other,ซ.6 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,,0-2888-2238,,,TRUE,,,
partner_shipper_19,ชัยวัฒพัฒนา,other,ซ.29 ตรงข้ามสนามกีฬา,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,,,,TRUE,,,
partner_shipper_20,เชียงรายธนากร,other,ซ.24,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2885-8980,,,TRUE,,,
partner_shipper_21,โชคเจริญ,other,ต่างระดับฉิมพลี,ถ.กาญจนาภิเษก,,กรุงเทพ,,0-2885-8066,,,TRUE,,,
partner_shipper_22,โชคเจ้าสัว,other,กระทุ่มล้ม,สาย 4 ถ.พุทธมณฑล,,กรุงเทพ,,086-079-3141,,,TRUE,,,
partner_shipper_23,โชคบุญนำพัฒนา,other,ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,"02-887-4328, 02-887-4329",,,TRUE,,,
partner_shipper_24,โชคประเสริฐ,other,ต่างระดับฉิมพลี,ถ.กาญจนาภิเษก,,กรุงเทพ,,0-2885-8854,,,TRUE,,,
partner_shipper_25,โชคพูนทรัพย์,other,ซ.รุ่งเรือง,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,,0-2441-3310,,,TRUE,,,
partner_shipper_26,โชคไพศาล,other,ศูนย์ขนส่ง 1 บางแวก,ถ.กาญจนาภิเษก,,กรุงเทพ,,0-2410-3419,,,TRUE,,,
partner_shipper_27,โชคสถาพร,other,ศูนย์ขนส่ง 3,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,,,,TRUE,,,
partner_shipper_28,ณัฐพงค์,other,ศูนย์ขนส่ง LSR,สาย 2 ถ.พุทธมณฑล,,กรุงเทพ,,0-2448-1008,,,TRUE,,,
partner_shipper_29,ดาวศรีบุญลือ(จำปี),other,ซ.2 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,,0-2888-0980,,,TRUE,,,
partner_shipper_30,ต.อุตรดิถต์ขุนพล,other,ซ.6 ม.ขุมทรัพย์นคร,สาย 3 ถ.พุทธมณฑล,,กรุงเทพ,,082-224-9627,,,TRUE,,,
