id,name,shipper_ids
base.res_partner_1030,"CENCAR LTD., (CHIANGMAI STORE)",
base.res_partner_1026,"CENCAR LTD., (PATTAYA STORE)",
base.res_partner_1012,"CENCAR LTD., (PHUKET STORE)",
base.res_partner_420,K P J Bicycle Shop,โชคไพศาล
base.res_partner_408,LA BIKE SHOP (ชัยพานิช),เมืองยศสุนทร
base.res_partner_397,LA BIKE SHOP อุบล,ตั้งง่วนหลี
base.res_partner_266,PC BIKES SHOP (ผินฮับหลี),นิ่มซี่เส็ง
base.res_partner_238,Rayong city bike,พี.อนุสรณ์ขนส่ง
base.res_partner_441,กวงหลีล้ง,อิสระขนส่ง 29 สาย 2
base.res_partner_455,ก้าวหน้าจักรยาน,วัชราพรรณ
base.res_partner_430,กิจเจริญ (เลย),เลยไพศาล
base.res_partner_428,กิจเจริญพานิชย์,มุกดาหารขนส่ง
base.res_partner_457,กิจเสรี,โชคเจริญ
base.res_partner_426,กู๊ดไบค์ซิเคิล เซ็นเตอร์,ส.แก่นนครพัฒนา
base.res_partner_451,แก้วจักรยาน,ประกายเพชรบูรณ์
base.res_partner_422,แก้วมอเตอร์ไซด์,นิ่มซี่เส็ง
base.res_partner_449,โกเพ้ง,โกล้วนรุ่งโรจน์
base.res_partner_464,โกสีย์จักรยาน(กิมฟอง),เทพอารักษ์
base.res_partner_446,ไก่นาฬิกา,บุญรักษา
base.res_partner_424,ข่วงสิงห์ไบร์ เชียงใหม่,นิ่มซี่เส็ง
base.res_partner_1076,คลินิคยนต์,บรรทุกรักษ์
base.res_partner_435,"คิมเซอร์วิสแอนด์พาร์ท, หจก.",วัฒนกิจอุตรดิตถ์
base.res_partner_459,คูย่งล้ง,นครพนม
base.res_partner_467,"เค.เอ็ม.ที อินเตอร์เนชั่นแนล, หจก.",นวรรณ
base.res_partner_469,เคียงหลี - บ้านโป่ง,บ้านโป่ง-กาญจนบุรี
base.res_partner_354,ง่วนหลี-บ้านโป่ง,ศรีเคียงนครปฐม
base.res_partner_347,ง้วนฮวด,ปากช่องเชียงฮง
