id,name,type,parent_id/id,property_account_creditor_price_difference_categ,property_account_income_categ,property_account_expense_categ,property_stock_account_input_categ,property_stock_account_output_categ,property_stock_valuation_account_id,property_stock_journal/id
product_cat_raw_materials,Raw Materials,Normal,,58200 Purchase price variance,41300 รายได้จากการขายวัตถุดิบ,51200 ค่าใช้จ่ายในการผลิต,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11530 วัตถุดิบ,stock.stock_journal
product_cat_ชุบ,ชุบ,Normal,product_cat_raw_materials,,41300 รายได้จากการขายวัตถุดิบ,51130 ค่าจ้างทำของ,51130 ค่าจ้างทำของ,51130 ค่าจ้างทำของ,,stock.stock_journal
product_cat_blank,Blank,Normal,product_cat_raw_materials,58200 Purchase price variance,41300 รายได้จากการขายวัตถุดิบ,51200 ค่าใช้จ่ายในการผลิต,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11530 วัตถุดิบ,stock.stock_journal
product_cat_chemical,Chemical,Normal,product_cat_raw_materials,58200 Purchase price variance,41300 รายได้จากการขายวัตถุดิบ,51200 ค่าใช้จ่ายในการผลิต,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11530 วัตถุดิบ,stock.stock_journal
product_cat_pipe,Pipe,Normal,product_cat_raw_materials,58200 Purchase price variance,41300 รายได้จากการขายวัตถุดิบ,51200 ค่าใช้จ่ายในการผลิต,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11530 วัตถุดิบ,stock.stock_journal
product_cat_plastic,Plastic,Normal,product_cat_raw_materials,58200 Purchase price variance,41300 รายได้จากการขายวัตถุดิบ,51200 ค่าใช้จ่ายในการผลิต,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11530 วัตถุดิบ,stock.stock_journal
product_cat_steel,Steel,Normal,product_cat_raw_materials,58200 Purchase price variance,41300 รายได้จากการขายวัตถุดิบ,51200 ค่าใช้จ่ายในการผลิต,21299 เจ้าหนี้ยังไม่ออกใบแจ้งหนี้,51900 Product Inventory Clearing,11530 วัตถุดิบ,stock.stock_journal
product_cat_packing,Packing,Normal,,,42900 รายได้อื่น,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,,stock.stock_journal
product_cat_bag,Bag,Normal,product_cat_packing,,42900 รายได้อื่น,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,,stock.stock_journal
product_cat_box,Box,Normal,product_cat_packing,,42900 รายได้อื่น,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,,stock.stock_journal
product_cat_packing_misc,Packing Misc,Normal,product_cat_packing,,42900 รายได้อื่น,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,53400 ค่าหีบห่อ,,stock.stock_journal
product_cat_factory_supplies,Factory Supplies,Normal,,,42900 รายได้อื่น,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,,stock.stock_journal
product_cat_factory_supply_misc,Factory Supply Misc,Normal,product_cat_factory_supplies,,42900 รายได้อื่น,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,,stock.stock_journal
product_cat_fastener,Fastener,Normal,product_cat_factory_supplies,,42900 รายได้อื่น,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,,stock.stock_journal
product_cat_paint,Paint,Normal,product_cat_factory_supplies,,42900 รายได้อื่น,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,51200 ค่าใช้จ่ายในการผลิต,,stock.stock_journal
