id,name,active,ref,comment,is_company,parent_id,type,use_parent_address,street,street2,zip,city,country_id/id,phone,mobile,fax
res_partner_bigc_hq,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",TRUE,,,TRUE,,Default,TRUE,97/11 ชั้น 6 ถ.ราชดำหริห์,แขวงลุมพินี เขตปทุมวัน,10330,กรุงเทพ,base.th,,,
base.res_partner_1135,สาขาสุขสวัสดิ์,FALSE,,,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,,,,,base.th,,,
base.res_partner_1126,สาขากระบี่,TRUE,B023,160,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,,,,,base.th,,,
base.res_partner_1120,สาขาเชียงใหม่,TRUE,,,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,,,,,base.th,,,
res_partner_XXX11,สาขาเชียงใหม่ 2,TRUE,B029,184,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,94 หมู่ 4 ถนน เชียงใหม่-ลำปาง,ตำบล หนองป่าครั่ง อำเภอ เมืองเชียงใหม่ ,50000,เชียงใหม่,base.th,,,
res_partner_XXX10,สาขาที่ 3,FALSE,,,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,,,,,base.th,,,
base.res_partner_1132,สาขาที่ 3,TRUE,B021,108,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,94 ถ.พหลโยธิน ต.ประชาธิปัตย์,อ.ธัญบุรี,12130,ปทุมธานี,base.th,,,
__export__.res_partner_1305,สาขาที่ 8,TRUE,B033,111,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,118 ถ.มิตรภาพ-หนองคาย,ต.ในเมือง อ.เมือง,30000,นครราชสีมา,base.th,,,
base.res_partner_1133,สาขาธนบุรี-ปากท่อ,TRUE,B020,116,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,127 ถ.พระรามที่ 2 แขวงแสมดำ,เขตบางขุนเทียน,10150,กรุงเทพ,base.th,,,
res_partner_XXX07,สาขาธนบุรี-ปากท่อ,FALSE,,,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,,,,กรุงเทพ,base.th,,,
base.res_partner_1115,สาขานครสวรรค์,TRUE,,,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,,,,นครสวรรค์,base.th,,,
res_partner_XXX15,สาขาบางบอน,TRUE,B038,195,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,371 ถนนเอกชัย,แขวงบางบอน เขตบางบอน,10150,กรุงเทพ,base.th,,,
res_partner_XXX03,สาขาบางพลี,FALSE,,,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,,,,กรุงเทพ,base.th,,,
base.res_partner_1131,สาขาบางพลี,TRUE,B018,106,FALSE,"บิ๊กซี ซูเปอร์เซ็นเตอร์, บจก. (มหาชน)",Shipping,FALSE,89 หมู่ 9 ถ.เทพารักษ์ กม.13,ต.บางพลีใหญ่ อ.บางพลี,10520,สมุทรปราการ,base.th,,,
